Delivery,Batsman,Bowler,Outcome,BattingTeam,BowlingTeam,Ground,Innings,L/R,Bowling,Date,Match
0.1,David Warner,Tymal Mills,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
0.2,David Warner,Tymal Mills,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
0.3,David Warner,Tymal Mills,4,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
0.4,David Warner,Tymal Mills,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
0.5,David Warner,Tymal Mills,2(Wide),Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
0.5,Shikhar Dhawan,Tymal Mills,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
0.6,Shikhar Dhawan,Tymal Mills,1(LB),Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.1,Shikhar Dhawan,Aniket Choudhary,1,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.2,David Warner,Aniket Choudhary,4,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.3,David Warner,Aniket Choudhary,0(NB),Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.3,David Warner,Aniket Choudhary,6,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.4,David Warner,Aniket Choudhary,Wicket,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.5,Moises Henriques,Aniket Choudhary,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Right,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
1.6,Moises Henriques,Aniket Choudhary,4,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Right,Left-arm medium,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
2.1,Shikhar Dhawan,Tymal Mills,1,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Left,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
2.2,Moises Henriques,Tymal Mills,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1,Right,Left-arm fast,20170405,Sunrisers Hyderabad v Royal Challengers Bangalore
