Delivery,Batsman,Bowler,Outcome,BattingTeam,BowlingTeam,Ground,Innings,L/R,Bowling,Date,Match
0.1,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
0.2,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
0.3,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
0.4,Amit Shrestha,Mahaboob Alam,1,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
0.5,Sagar Pun,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
0.6,Sagar Pun,Mahaboob Alam,4,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.1,Amit Shrestha,Suboth Bhati,1,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.2,Sagar Pun,Suboth Bhati,1(Wide),Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.2,Sagar Pun,Suboth Bhati,Wicket,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.3,Naresh Budayair,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.4,Naresh Budayair,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.5,Naresh Budayair,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
1.6,Naresh Budayair,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
2.1,Amit Shrestha,Mahaboob Alam,1,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
2.2,Naresh Budayair,Mahaboob Alam,Wicket,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
2.3,Farveez Maharoof,Mahaboob Alam,2(LB),Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
2.4,Farveez Maharoof,Mahaboob Alam,1,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
2.5,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
2.6,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.1,Farveez Maharoof,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.2,Farveez Maharoof,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.3,Farveez Maharoof,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.4,Farveez Maharoof,Suboth Bhati,1(Wide),Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.4,Farveez Maharoof,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.5,Farveez Maharoof,Suboth Bhati,6,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
3.6,Farveez Maharoof,Suboth Bhati,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
4.1,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
4.2,Amit Shrestha,Mahaboob Alam,4,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
4.3,Amit Shrestha,Mahaboob Alam,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
4.4,Amit Shrestha,Mahaboob Alam,1,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
4.5,Farveez Maharoof,Mahaboob Alam,Wicket,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
4.6,Amit Shrestha,Mahaboob Alam,1(LB),Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Left-arm medium,20171218,Kathmandu Kings XI v Lalitpur Patriots
5.1,Amit Shrestha,Lalit Rajbanshi,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Slow left-arm orthodox,20171218,Kathmandu Kings XI v Lalitpur Patriots
5.2,Amit Shrestha,Lalit Rajbanshi,1,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Slow left-arm orthodox,20171218,Kathmandu Kings XI v Lalitpur Patriots
5.3,Raju Rijal,Lalit Rajbanshi,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Slow left-arm orthodox,20171218,Kathmandu Kings XI v Lalitpur Patriots
5.4,Raju Rijal,Lalit Rajbanshi,0,Kathmandu Kings XI,Lalitpur Patriots,Tribhuvan University International Cricket Ground,1,Right,Slow left-arm orthodox,20171218,Kathmandu Kings XI v Lalitpur Patriots
