Delivery,Batsman,Bowler,Outcome,BattingTeam,BowlingTeam,Ground,Innings,L/R,Bowling,Date,Match
0.1,Rohit Sharma,Deepak Chahar,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
0.2,Rohit Sharma,Deepak Chahar,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
0.3,Rohit Sharma,Deepak Chahar,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
0.4,Rohit Sharma,Deepak Chahar,4,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
0.5,Rohit Sharma,Deepak Chahar,1,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
0.6,Evin Lewis,Deepak Chahar,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Left,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
1.1,Rohit Sharma,Shane Watson,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
1.2,Rohit Sharma,Shane Watson,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
1.3,Rohit Sharma,Shane Watson,2,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
1.4,Rohit Sharma,Shane Watson,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
1.5,Rohit Sharma,Shane Watson,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
1.6,Rohit Sharma,Shane Watson,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
2.1,Evin Lewis,Deepak Chahar,Wicket,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Left,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
2.2,Ishan Kishan,Deepak Chahar,2,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Left,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
2.3,Ishan Kishan,Deepak Chahar,1,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Left,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
2.4,Rohit Sharma,Deepak Chahar,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
2.5,Rohit Sharma,Deepak Chahar,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
2.6,Rohit Sharma,Deepak Chahar,2,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm medium,20180407,Mumbai Indians v Chennai Super Kings
3.1,Ishan Kishan,Shane Watson,1,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Left,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
3.2,Rohit Sharma,Shane Watson,0,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
3.3,Rohit Sharma,Shane Watson,1(Wide),Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
3.3,Rohit Sharma,Shane Watson,6,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,Right,Right-arm fast-medium,20180407,Mumbai Indians v Chennai Super Kings
